# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:43:42 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1760.9161(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  1.4262E+02  1.5642E-01  3.1342E+00 -5.9413E-03
  1.4353E+02  1.5911E-01  3.1272E+00 -8.8206E-03
  1.4443E+02  1.5884E-01  3.1176E+00 -9.9879E-03
  1.4533E+02  1.5732E-01  3.1090E+00 -1.1719E-02
  1.4624E+02  1.5548E-01  3.1056E+00 -1.4049E-02
  1.4714E+02  1.5183E-01  3.1013E+00 -1.6860E-02
  1.4804E+02  1.5048E-01  3.1026E+00 -1.8624E-02
  1.4895E+02  1.5173E-01  3.1054E+00 -1.9633E-02
  1.4985E+02  1.5279E-01  3.1101E+00 -1.9213E-02
  1.5075E+02  1.5600E-01  3.1154E+00 -1.4776E-02
  1.5165E+02  1.5663E-01  3.1179E+00 -9.9402E-03
  1.5256E+02  1.5685E-01  3.1246E+00 -6.2107E-03
  1.5346E+02  1.5441E-01  3.1378E+00 -6.3727E-03
  1.5436E+02  1.5431E-01  3.1532E+00 -7.7448E-03
  1.5527E+02  1.5519E-01  3.1602E+00 -1.0754E-02
  1.5617E+02  1.5304E-01  3.1568E+00 -1.4392E-02
  1.5707E+02  1.5387E-01  3.1455E+00 -1.8777E-02
  1.5798E+02  1.5399E-01  3.1316E+00 -2.2413E-02
  1.5888E+02  1.5421E-01  3.1206E+00 -2.3848E-02
  1.5978E+02  1.5468E-01  3.1145E+00 -2.4793E-02
  1.6069E+02  1.5386E-01  3.1122E+00 -2.3854E-02
  1.6159E+02  1.5324E-01  3.1104E+00 -2.1715E-02
  1.6249E+02  1.5304E-01  3.1098E+00 -2.0073E-02
  1.6340E+02  1.5345E-01  3.1025E+00 -1.9803E-02
  1.6430E+02  1.5243E-01  3.0971E+00 -1.9666E-02
  1.6520E+02  1.5119E-01  3.0913E+00 -1.9147E-02
  1.6611E+02  1.5012E-01  3.0840E+00 -2.0223E-02
  1.6701E+02  1.4977E-01  3.0784E+00 -2.2377E-02
  1.6791E+02  1.4903E-01  3.0721E+00 -2.3572E-02
  1.6882E+02  1.4882E-01  3.0676E+00 -2.4305E-02
  1.6972E+02  1.4789E-01  3.0671E+00 -2.3624E-02
  1.7062E+02  1.5008E-01  3.0650E+00 -2.1423E-02
  1.7153E+02  1.5140E-01  3.0548E+00 -1.8985E-02
  1.7243E+02  1.5309E-01  3.0458E+00 -1.6980E-02
  1.7333E+02  1.5438E-01  3.0336E+00 -1.6549E-02
  1.7423E+02  1.5471E-01  3.0092E+00 -1.6518E-02
  1.7514E+02  1.5309E-01  2.9810E+00 -1.4901E-02
  1.7604E+02  1.5217E-01  2.9551E+00 -1.2890E-02
  1.7694E+02  1.5046E-01  2.9375E+00 -1.3165E-02
  1.7785E+02  1.4776E-01  2.9227E+00 -1.3186E-02
  1.7875E+02  1.4604E-01  2.9085E+00 -1.4059E-02
  1.7965E+02  1.4500E-01  2.8970E+00 -1.6313E-02
  1.8056E+02  1.4437E-01  2.8964E+00 -1.9411E-02
  1.8146E+02  1.4596E-01  2.8956E+00 -2.1877E-02
  1.8236E+02  1.4795E-01  2.8877E+00 -2.2018E-02
  1.8327E+02  1.4975E-01  2.8758E+00 -2.2163E-02
  1.8417E+02  1.5074E-01  2.8619E+00 -2.1824E-02
  1.8507E+02  1.4875E-01  2.8479E+00 -2.0572E-02
  1.8598E+02  1.4854E-01  2.8416E+00 -1.7369E-02
  1.8688E+02  1.4851E-01  2.8371E+00 -1.4295E-02
  1.8778E+02  1.4711E-01  2.8303E+00 -1.3422E-02
  1.8869E+02  1.4302E-01  2.8177E+00 -1.2376E-02
