# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:46:43 2022
# diag: fluxspectra, run(s): 1-dat, time window: 800-1760.8288(27 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
# Q*dVdx =   1.9693E+00 MW
# G*dVdx =   2.6476E-01 MW/keV
#  kx         G_es,p      Q_es,p      G_em,p      Q_em,p    
  6.9431E-01  1.0832E-03  1.1209E-02  2.7050E-07  5.3304E-07
  7.2102E-01  1.1105E-03  1.0186E-02  2.7924E-07  6.8032E-07
  7.4772E-01  9.2013E-04  9.1904E-03  2.0348E-07  2.8353E-07
  7.7443E-01  8.6498E-04  8.2751E-03  6.8323E-08 -6.0895E-08
  8.0113E-01  7.5077E-04  7.1862E-03  2.0092E-07  5.1006E-07
  8.2783E-01  6.9700E-04  6.6632E-03  7.5058E-08 -3.7348E-08
  8.5454E-01  6.2000E-04  6.0865E-03  1.0813E-07  2.5025E-07
  8.8124E-01  5.6343E-04  5.2621E-03  5.8955E-08  1.9437E-08
  9.0795E-01  5.2490E-04  4.9008E-03  1.1892E-07  1.7814E-07
  9.3465E-01  5.1842E-04  4.4538E-03  7.2086E-08 -2.2910E-08
  9.6136E-01  5.0001E-04  4.1449E-03  4.6780E-08  4.1731E-08
  9.8806E-01  4.3977E-04  3.6593E-03  3.9653E-08  1.7948E-08
  1.0148E+00  3.6267E-04  3.4338E-03  2.7254E-08 -1.0588E-08
  1.0415E+00  3.3328E-04  3.0348E-03  6.6078E-09 -5.8137E-08
  1.0682E+00  3.3098E-04  2.6758E-03  3.0728E-08  3.7843E-08
  1.0949E+00  3.1847E-04  2.5190E-03  3.9023E-08  8.2499E-08
  1.1216E+00  3.2180E-04  2.3549E-03  2.4981E-08 -3.3900E-08
  1.1483E+00  2.7460E-04  2.1388E-03  3.9874E-08  5.3649E-08
  1.1750E+00  2.3721E-04  1.9480E-03  4.2377E-09 -4.6771E-08
  1.2017E+00  2.5513E-04  1.8392E-03  1.6797E-08 -2.2722E-08
  1.2284E+00  2.2028E-04  1.6444E-03  8.7236E-09 -7.3677E-09
  1.2551E+00  2.1743E-04  1.5671E-03 -6.7468E-09 -1.3029E-08
  1.2818E+00  2.1597E-04  1.4701E-03  2.0980E-08 -2.0235E-09
  1.3085E+00  1.9082E-04  1.3591E-03  7.6477E-09 -7.9636E-09
  1.3352E+00  1.8779E-04  1.2151E-03  1.3596E-09  4.7967E-09
  1.3619E+00  1.6415E-04  1.1394E-03 -1.6689E-08 -4.6443E-08
  1.3886E+00  1.3907E-04  1.0657E-03  2.2128E-08  3.4885E-08
  1.4153E+00  1.6126E-04  9.7304E-04  1.2652E-08  2.5437E-08
  1.4420E+00  1.4146E-04  8.7742E-04 -1.2036E-09 -1.9829E-08
  1.4687E+00  1.1165E-04  8.5436E-04 -4.1379E-09 -1.3906E-08
  1.4954E+00  9.3858E-05  7.2458E-04  1.8812E-10 -5.4924E-09
  1.5221E+00  1.0885E-04  7.5495E-04  9.6998E-10  1.0312E-08
  1.5489E+00  1.2323E-04  7.0868E-04  5.0663E-09  8.7240E-09
  1.5756E+00  1.1720E-04  6.6759E-04  1.1111E-08  2.5699E-08
  1.6023E+00  8.7321E-05  5.8747E-04 -9.0831E-10 -1.5747E-08
  1.6290E+00  8.6066E-05  5.6012E-04  6.4429E-09  1.7721E-08
  1.6557E+00  7.3101E-05  5.1072E-04  3.9685E-09  1.2095E-08
  1.6824E+00  8.1705E-05  5.1077E-04  7.3058E-09 -4.7311E-09
  1.7091E+00  6.7406E-05  4.6668E-04  3.5906E-10  2.0750E-09
  1.7358E+00  6.1558E-05  4.3677E-04  4.8502E-10  1.2703E-09
  1.7625E+00  5.2046E-05  4.0041E-04 -6.6842E-10 -6.0288E-09
  1.7892E+00  5.6958E-05  3.7709E-04  1.0820E-08  1.3990E-09
  1.8159E+00  4.7645E-05  3.5553E-04  7.6527E-09  7.0903E-09
  1.8426E+00  5.3223E-05  3.5826E-04  8.8452E-10 -1.7447E-09
  1.8693E+00  5.6912E-05  3.3535E-04  4.6159E-09 -2.2696E-09
  1.8960E+00  4.6158E-05  3.1828E-04  4.9401E-09  3.0463E-09
  1.9227E+00  3.7190E-05  2.7250E-04  2.5214E-10 -9.8569E-10
  1.9494E+00  4.1286E-05  2.7461E-04  1.9685E-09 -6.2599E-09
  1.9761E+00  2.7114E-05  2.4527E-04 -9.6483E-10 -1.6098E-09
  2.0028E+00  3.4424E-05  2.3066E-04  3.2566E-09  2.9383E-09
  2.0295E+00  2.2868E-05  2.1106E-04  3.6543E-09  3.9394E-09
  2.0562E+00  2.0243E-05  1.9693E-04  6.9511E-10 -1.5026E-09
  2.0829E+00  1.8316E-05  1.9931E-04  3.8817E-09  2.3949E-09
  2.1096E+00  2.9364E-05  1.9498E-04  2.9480E-09  1.3495E-09
  2.1363E+00  1.7307E-05  1.6541E-04  1.2037E-09 -3.7197E-09
  2.1631E+00  1.0217E-05  1.5787E-04 -1.6779E-09 -7.5696E-09
  2.1898E+00  1.2488E-05  1.5158E-04 -1.4702E-09 -3.5237E-09
  2.2165E+00  6.8531E-06  1.4520E-04 -1.0023E-11 -4.7993E-09
  2.2432E+00  1.2043E-05  1.3081E-04 -1.7127E-09 -2.3897E-09
  2.2699E+00  4.2954E-06  1.3041E-04  2.5158E-10 -7.7413E-10
  2.2966E+00  1.0580E-05  1.1384E-04  3.9226E-09  5.9893E-09
  2.3233E+00  8.3617E-06  1.1236E-04  1.1680E-09  1.0333E-09
  2.3500E+00  1.4772E-05  1.0629E-04  1.4254E-09  2.6173E-09
  2.3767E+00  8.1458E-06  1.0234E-04  2.4478E-09  1.3328E-09
  2.4034E+00 -5.2376E-07  9.1202E-05  2.3983E-09  2.2946E-09
  2.4301E+00  7.4974E-07  8.4184E-05 -2.1750E-09 -2.2534E-09
  2.4568E+00  6.2113E-06  7.5750E-05  3.2108E-10  1.6201E-09
  2.4835E+00  4.4770E-06  8.2925E-05  2.4052E-09  3.2931E-09
  2.5102E+00  1.0472E-05  7.4773E-05  4.2583E-10 -7.1069E-10
  2.5369E+00  1.6369E-07  6.6254E-05  1.2881E-09  3.6986E-10
  2.5636E+00 -1.7273E-06  6.6246E-05  1.3078E-09  3.5388E-09
  2.5903E+00 -1.8943E-06  5.7516E-05  3.4831E-11  3.7115E-10
  2.6170E+00 -1.8968E-06  5.8056E-05  1.1224E-09  3.2723E-09
  2.6437E+00  1.5586E-06  5.4309E-05 -4.1838E-11 -1.0306E-09
  2.6704E+00 -3.3360E-07  4.9391E-05  5.9006E-10 -2.2227E-11
  2.6971E+00 -3.5791E-06  4.8465E-05  6.8906E-10 -3.6574E-10
  2.7238E+00 -2.8679E-06  4.5092E-05 -1.3845E-10 -7.4191E-10
  2.7505E+00 -1.5684E-06  4.0296E-05 -7.3509E-11 -3.4820E-10
  2.7773E+00 -2.6427E-07  3.9925E-05  1.2140E-09  2.5791E-09
  2.8040E+00 -3.7048E-06  4.0688E-05 -9.7410E-11  3.6085E-10
  2.8307E+00 -2.1478E-07  3.6329E-05 -4.3959E-10 -3.3425E-10
  2.8574E+00 -5.4962E-06  2.8443E-05  5.2326E-10  1.9655E-09
  2.8841E+00 -2.6292E-06  3.2349E-05  2.5884E-10  3.3283E-10
  2.9108E+00 -4.0340E-06  3.0053E-05  6.9720E-11  1.3471E-09
  2.9375E+00 -1.4379E-06  2.4419E-05 -2.0047E-10 -5.3108E-11
  2.9642E+00 -3.9481E-06  2.3281E-05  1.0548E-10  9.7311E-10
  2.9909E+00 -4.3616E-06  2.4194E-05 -3.8659E-10 -1.8226E-09
  3.0176E+00 -5.3816E-06  1.8835E-05 -1.2472E-09 -1.3739E-09
  3.0443E+00 -4.2525E-06  2.0754E-05  9.8322E-10  6.4985E-10
  3.0710E+00 -2.7185E-06  2.0774E-05  3.9354E-10  3.7351E-10
  3.0977E+00 -2.8920E-06  1.9959E-05  9.8280E-10  6.1726E-10
  3.1244E+00 -3.6969E-06  1.9603E-05 -2.3296E-11 -1.8616E-10
  3.1511E+00 -6.4601E-06  1.9898E-05 -8.8557E-10 -2.0192E-10
  3.1778E+00 -3.3129E-06  1.3095E-05 -4.6491E-12 -2.4750E-10
  3.2045E+00 -4.2306E-06  1.6933E-05  1.3839E-10  1.3102E-10
  3.2312E+00 -4.5290E-06  1.5635E-05  5.8943E-10  8.9880E-10
  3.2579E+00 -7.0122E-06  1.4365E-05  3.9017E-11  2.9734E-10
  3.2846E+00 -5.2815E-06  1.5279E-05  5.1833E-10  5.7772E-10
  3.3113E+00 -6.6961E-06  1.2036E-05 -2.2728E-10 -3.0918E-10
  3.3380E+00 -6.8188E-06  1.2291E-05  2.6816E-10 -5.2233E-11
  3.3647E+00 -8.0295E-06  1.0240E-05  5.0044E-10  5.0468E-10
  3.3915E+00 -4.7641E-06  1.4563E-05  8.3019E-11 -1.9780E-10
  3.4182E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p      G_em,p      Q_em,p    
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0000E-02  3.9205E-04  1.8430E-02  5.0240E-06  4.3724E-06
  8.0000E-02  4.9297E-03  2.2550E-01  1.7467E-05  2.0779E-05
  1.2000E-01  3.9545E-03  1.8427E-01  1.1340E-05  3.0348E-05
  1.6000E-01  6.6144E-03  2.5224E-01  1.2151E-05  3.3092E-05
  2.0000E-01  6.9697E-03  2.5190E-01  1.2584E-05  3.7118E-05
  2.4000E-01  8.1025E-03  2.4913E-01  1.2890E-05  4.0798E-05
  2.8000E-01  7.8773E-03  2.2654E-01  8.1219E-06  2.4428E-05
  3.2000E-01  8.2514E-03  2.1414E-01  5.5767E-06  1.3826E-05
  3.6000E-01  8.3159E-03  2.1006E-01  3.9353E-06  7.4697E-06
  4.0000E-01  8.8252E-03  2.0762E-01  3.2415E-06  5.8990E-06
  4.4000E-01  8.7959E-03  1.9110E-01  1.5916E-06 -6.3268E-07
  4.8000E-01  8.0619E-03  1.6470E-01  4.3417E-07 -4.4988E-06
  5.2000E-01  8.0129E-03  1.5148E-01 -3.7137E-07 -5.3738E-06
  5.6000E-01  7.3271E-03  1.2827E-01 -1.2788E-07 -4.9482E-06
  6.0000E-01  6.2010E-03  1.0188E-01 -2.0786E-07 -4.5819E-06
  6.4000E-01  5.9318E-03  8.5580E-02 -3.6034E-08 -3.3540E-06
  6.8000E-01  4.9398E-03  6.7850E-02 -2.5085E-08 -2.1639E-06
  7.2000E-01  4.9242E-03  6.1646E-02 -6.4339E-08 -2.5984E-06
  7.6000E-01  4.2765E-03  4.9198E-02 -1.6321E-07 -2.2595E-06
  8.0000E-01  3.8959E-03  4.2848E-02 -4.0528E-08 -1.5034E-06
  8.4000E-01  3.6449E-03  3.7304E-02 -8.6661E-09 -1.1892E-06
  8.8000E-01  3.3350E-03  3.2286E-02  5.1972E-08 -5.7512E-07
  9.2000E-01  3.1295E-03  2.9288E-02  1.2292E-07 -4.0600E-07
  9.6000E-01  3.1508E-03  2.6250E-02  1.1550E-07 -4.9102E-07
  1.0000E+00  3.0749E-03  2.4645E-02  3.5578E-08 -6.7239E-07
  1.0400E+00  2.6155E-03  2.1707E-02  1.6255E-08 -5.2298E-07
  1.0800E+00  2.5584E-03  1.9869E-02  2.8519E-08 -4.9187E-07
  1.1200E+00  2.5462E-03  1.8716E-02  4.2192E-08 -4.6244E-07
  1.1600E+00  2.2330E-03  1.6546E-02  4.5235E-08 -1.4678E-07
  1.2000E+00  2.1441E-03  1.5722E-02  4.8763E-09 -2.2149E-07
  1.2400E+00  2.0783E-03  1.3990E-02  7.5613E-09 -1.6262E-07
