# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:27:19 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1468.5478(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p42/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  5.2975E+01  7.9405E-03  1.3509E-01 -7.6363E-04
  5.3720E+01  6.9733E-03  1.4064E-01 -1.4477E-03
  5.4465E+01  5.2096E-03  1.5941E-01 -1.6548E-03
  5.5210E+01  6.0119E-03  1.7547E-01 -2.1792E-03
  5.5955E+01  7.4371E-03  1.8703E-01 -9.3775E-04
  5.6700E+01  8.4005E-03  1.8779E-01 -4.4656E-04
  5.7445E+01  6.9390E-03  1.9173E-01 -3.2494E-04
  5.8190E+01  1.0396E-02  1.8206E-01 -5.7210E-05
  5.8935E+01  1.1016E-02  1.7501E-01  1.2662E-03
  5.9680E+01  9.7090E-03  1.6357E-01  1.5687E-03
  6.0425E+01  1.0756E-02  1.5264E-01  2.2564E-03
  6.1170E+01  1.2498E-02  1.6846E-01  2.9000E-03
  6.1914E+01  1.0112E-02  1.6753E-01  2.2177E-03
  6.2659E+01  1.3719E-02  1.7982E-01  2.9552E-03
  6.3404E+01  1.2831E-02  1.8850E-01  3.9030E-03
  6.4149E+01  1.1584E-02  2.1272E-01  2.4744E-03
  6.4894E+01  1.1598E-02  2.2256E-01  1.9676E-03
  6.5639E+01  1.3422E-02  2.4503E-01  2.0408E-03
  6.6384E+01  1.0480E-02  2.5074E-01  9.6885E-04
  6.7129E+01  1.4021E-02  2.7476E-01  1.1970E-03
  6.7874E+01  1.3077E-02  2.8552E-01  5.7435E-04
  6.8619E+01  1.3042E-02  3.0154E-01 -1.0668E-03
  6.9364E+01  1.3962E-02  2.9810E-01 -1.6550E-04
  7.0109E+01  1.6342E-02  3.1390E-01 -4.5250E-04
  7.0854E+01  1.4811E-02  3.0188E-01  5.7700E-05
  7.1599E+01  1.4652E-02  3.0597E-01 -1.1390E-03
  7.2344E+01  1.4951E-02  2.9776E-01 -5.3470E-04
  7.3088E+01  1.4637E-02  3.0340E-01 -1.7566E-03
  7.3833E+01  1.4400E-02  3.1070E-01 -9.1590E-04
  7.4578E+01  1.4263E-02  3.2423E-01 -2.7579E-03
  7.5323E+01  1.3946E-02  3.3745E-01 -3.2651E-03
  7.6068E+01  1.5628E-02  3.6139E-01 -4.1776E-03
  7.6813E+01  1.7544E-02  3.7610E-01 -4.2089E-03
  7.7558E+01  1.8216E-02  3.9207E-01 -4.6125E-03
  7.8303E+01  2.0317E-02  4.0970E-01 -5.7614E-03
  7.9048E+01  2.2661E-02  4.3020E-01 -6.1564E-03
  7.9793E+01  2.3494E-02  4.3856E-01 -4.3293E-03
  8.0538E+01  2.5162E-02  4.5870E-01 -4.4774E-03
  8.1283E+01  2.5420E-02  4.6582E-01 -3.5133E-03
  8.2028E+01  2.5254E-02  4.7741E-01 -3.4991E-03
  8.2773E+01  2.6562E-02  4.8763E-01 -2.9929E-03
  8.3517E+01  2.5672E-02  4.9491E-01 -1.9734E-03
  8.4262E+01  2.6683E-02  5.0199E-01 -2.7497E-03
  8.5007E+01  2.5667E-02  5.1781E-01 -4.7039E-03
  8.5752E+01  2.5619E-02  5.2843E-01 -4.7874E-03
  8.6497E+01  2.6455E-02  5.4780E-01 -4.9380E-03
  8.7242E+01  2.8386E-02  5.6742E-01 -5.1292E-03
  8.7987E+01  2.7465E-02  5.8925E-01 -4.9028E-03
  8.8748E+01  3.0852E-02  6.1310E-01 -4.9034E-03
  8.9530E+01  3.2570E-02  6.3929E-01 -2.8467E-03
  9.0312E+01  3.2750E-02  6.5183E-01 -1.5242E-03
  9.1095E+01  3.6642E-02  6.7860E-01 -8.9930E-04
  9.1877E+01  3.7167E-02  6.8926E-01 -9.1710E-04
  9.2659E+01  3.9435E-02  7.0879E-01 -1.0031E-03
  9.3441E+01  4.1000E-02  7.2157E-01 -9.7400E-04
  9.4223E+01  4.2072E-02  7.3944E-01 -2.7349E-03
  9.5005E+01  4.2762E-02  7.5513E-01 -5.2696E-03
  9.5788E+01  4.4411E-02  7.7544E-01 -5.2550E-03
  9.6570E+01  4.4616E-02  7.8515E-01 -5.8388E-03
  9.7352E+01  4.5592E-02  8.0457E-01 -6.6997E-03
  9.8134E+01  4.5965E-02  8.2282E-01 -7.5036E-03
  9.8916E+01  4.7061E-02  8.4015E-01 -5.6607E-03
  9.9699E+01  4.8979E-02  8.6116E-01 -5.7904E-03
  1.0048E+02  4.7940E-02  8.7610E-01 -4.3149E-03
  1.0126E+02  5.1366E-02  9.0136E-01 -3.4209E-03
  1.0205E+02  5.1948E-02  9.1700E-01 -6.7510E-04
  1.0283E+02  5.2771E-02  9.3185E-01  1.7000E-06
  1.0361E+02  5.3597E-02  9.4870E-01  2.2285E-03
  1.0439E+02  5.4797E-02  9.6945E-01  2.4054E-03
  1.0517E+02  5.5844E-02  9.8375E-01  3.0685E-03
  1.0596E+02  5.6745E-02  1.0011E+00  2.2309E-03
  1.0674E+02  5.7584E-02  1.0158E+00  2.4209E-03
  1.0752E+02  6.0117E-02  1.0313E+00  1.8505E-03
  1.0830E+02  6.1325E-02  1.0466E+00  1.1912E-03
  1.0908E+02  6.0335E-02  1.0497E+00  3.2597E-03
  1.0987E+02  6.1659E-02  1.0635E+00  4.4159E-03
  1.1065E+02  6.0303E-02  1.0662E+00  7.3975E-03
  1.1143E+02  6.1923E-02  1.0791E+00  8.9050E-03
  1.1221E+02  6.1069E-02  1.0853E+00  1.2493E-02
  1.1300E+02  6.0491E-02  1.1002E+00  1.3879E-02
  1.1378E+02  6.1765E-02  1.1080E+00  1.4789E-02
  1.1456E+02  6.4137E-02  1.1199E+00  1.4340E-02
  1.1534E+02  6.1405E-02  1.1174E+00  1.5272E-02
  1.1612E+02  6.0518E-02  1.1224E+00  1.3613E-02
  1.1691E+02  5.8435E-02  1.1182E+00  1.3135E-02
  1.1769E+02  6.0120E-02  1.1160E+00  1.5023E-02
  1.1847E+02  6.0173E-02  1.1091E+00  1.3117E-02
  1.1925E+02  5.7334E-02  1.1039E+00  1.2595E-02
  1.2004E+02  5.7907E-02  1.1086E+00  9.5227E-03
  1.2082E+02  5.8567E-02  1.1120E+00  1.0042E-02
  1.2160E+02  5.8495E-02  1.1069E+00  8.8598E-03
  1.2238E+02  5.8030E-02  1.1030E+00  9.6469E-03
  1.2316E+02  5.8316E-02  1.1078E+00  9.6738E-03
  1.2395E+02  5.9113E-02  1.1032E+00  1.2225E-02
  1.2473E+02  6.0284E-02  1.1006E+00  1.1189E-02
  1.2551E+02  5.8310E-02  1.0973E+00  1.3086E-02
  1.2629E+02  5.7971E-02  1.0991E+00  1.1938E-02
  1.2707E+02  5.6828E-02  1.0939E+00  1.1755E-02
  1.2786E+02  5.6450E-02  1.0912E+00  1.2168E-02
  1.2864E+02  5.8255E-02  1.0832E+00  1.0513E-02
  1.2942E+02  5.8177E-02  1.0787E+00  1.0587E-02
  1.3020E+02  6.0124E-02  1.0759E+00  1.0642E-02
  1.3099E+02  6.1034E-02  1.0763E+00  1.0932E-02
  1.3177E+02  5.9751E-02  1.0713E+00  1.2055E-02
  1.3255E+02  5.9123E-02  1.0685E+00  1.2624E-02
  1.3333E+02  5.7693E-02  1.0719E+00  1.2648E-02
  1.3411E+02  5.5928E-02  1.0681E+00  1.4623E-02
  1.3490E+02  5.5058E-02  1.0692E+00  1.2838E-02
  1.3568E+02  5.4409E-02  1.0704E+00  1.2467E-02
  1.3646E+02  5.4752E-02  1.0748E+00  1.1726E-02
  1.3724E+02  5.4850E-02  1.0790E+00  1.2636E-02
  1.3803E+02  5.4839E-02  1.0832E+00  1.2591E-02
  1.3881E+02  5.6336E-02  1.0812E+00  1.2274E-02
  1.3959E+02  5.8116E-02  1.0828E+00  1.2283E-02
  1.4037E+02  5.8794E-02  1.0828E+00  1.1737E-02
  1.4115E+02  5.9215E-02  1.0795E+00  1.2262E-02
  1.4194E+02  6.0286E-02  1.0805E+00  1.4246E-02
  1.4272E+02  5.9397E-02  1.0764E+00  1.5139E-02
  1.4350E+02  5.9003E-02  1.0784E+00  1.6819E-02
  1.4428E+02  5.7672E-02  1.0811E+00  1.8171E-02
  1.4506E+02  5.6993E-02  1.0766E+00  1.7277E-02
  1.4585E+02  5.4389E-02  1.0800E+00  1.6682E-02
  1.4663E+02  5.3382E-02  1.0786E+00  1.6366E-02
  1.4741E+02  5.1357E-02  1.0844E+00  1.6830E-02
  1.4819E+02  5.0558E-02  1.0860E+00  1.7319E-02
  1.4898E+02  4.8813E-02  1.0887E+00  1.6638E-02
  1.4976E+02  4.8993E-02  1.0946E+00  1.4985E-02
  1.5054E+02  4.8049E-02  1.1067E+00  1.4169E-02
  1.5132E+02  4.8990E-02  1.1093E+00  1.4504E-02
  1.5210E+02  5.0287E-02  1.1161E+00  1.4128E-02
  1.5289E+02  5.2586E-02  1.1188E+00  1.3041E-02
  1.5367E+02  5.5476E-02  1.1242E+00  1.3405E-02
  1.5445E+02  5.8192E-02  1.1324E+00  1.3739E-02
  1.5523E+02  5.9208E-02  1.1314E+00  1.5091E-02
  1.5602E+02  5.8582E-02  1.1372E+00  1.5713E-02
  1.5680E+02  5.6090E-02  1.1427E+00  1.5723E-02
  1.5758E+02  5.4380E-02  1.1566E+00  1.5909E-02
  1.5836E+02  5.4333E-02  1.1650E+00  1.6139E-02
  1.5914E+02  5.4337E-02  1.1771E+00  1.6039E-02
  1.5993E+02  5.3323E-02  1.1886E+00  1.6045E-02
  1.6071E+02  5.4015E-02  1.2048E+00  1.6601E-02
  1.6149E+02  5.3483E-02  1.2112E+00  1.5532E-02
  1.6227E+02  5.4702E-02  1.2188E+00  1.6755E-02
  1.6306E+02  5.3344E-02  1.2240E+00  1.6500E-02
  1.6384E+02  5.3220E-02  1.2239E+00  1.7315E-02
  1.6462E+02  5.5772E-02  1.2316E+00  1.5157E-02
  1.6540E+02  5.6947E-02  1.2322E+00  1.4734E-02
  1.6618E+02  5.9221E-02  1.2409E+00  1.4355E-02
  1.6697E+02  6.2338E-02  1.2454E+00  1.5492E-02
  1.6775E+02  6.2757E-02  1.2539E+00  1.6937E-02
  1.6853E+02  6.1703E-02  1.2581E+00  1.8260E-02
  1.6931E+02  6.1906E-02  1.2725E+00  2.0588E-02
  1.7009E+02  6.1114E-02  1.2847E+00  2.1147E-02
  1.7088E+02  6.2855E-02  1.2974E+00  2.2447E-02
  1.7166E+02  6.4554E-02  1.3042E+00  2.1624E-02
  1.7244E+02  6.5273E-02  1.3155E+00  2.1676E-02
  1.7322E+02  6.3606E-02  1.3208E+00  2.0077E-02
  1.7401E+02  6.2615E-02  1.3302E+00  2.0743E-02
  1.7479E+02  6.1271E-02  1.3342E+00  1.9801E-02
  1.7557E+02  5.8882E-02  1.3494E+00  2.1519E-02
  1.7635E+02  5.9138E-02  1.3643E+00  2.2244E-02
  1.7713E+02  6.1491E-02  1.3813E+00  2.3125E-02
  1.7792E+02  6.4250E-02  1.3926E+00  2.3736E-02
  1.7870E+02  6.5079E-02  1.4160E+00  2.3163E-02
  1.7948E+02  6.6776E-02  1.4331E+00  2.3438E-02
  1.8026E+02  6.7426E-02  1.4508E+00  2.4504E-02
  1.8105E+02  7.0140E-02  1.4628E+00  2.4895E-02
  1.8183E+02  7.1947E-02  1.4831E+00  2.5092E-02
  1.8261E+02  7.3897E-02  1.4948E+00  2.6284E-02
  1.8339E+02  7.4733E-02  1.5119E+00  2.5903E-02
  1.8417E+02  7.5245E-02  1.5215E+00  2.6157E-02
  1.8496E+02  7.4455E-02  1.5371E+00  2.5018E-02
  1.8574E+02  7.4251E-02  1.5487E+00  2.5830E-02
  1.8652E+02  7.4355E-02  1.5682E+00  2.5279E-02
  1.8730E+02  7.2741E-02  1.5768E+00  2.4374E-02
  1.8808E+02  7.1274E-02  1.5963E+00  2.5451E-02
  1.8887E+02  7.1105E-02  1.6056E+00  2.7823E-02
  1.8965E+02  7.1506E-02  1.6183E+00  2.9232E-02
  1.9043E+02  7.1060E-02  1.6218E+00  2.9265E-02
  1.9121E+02  7.1654E-02  1.6261E+00  2.9616E-02
  1.9200E+02  7.2744E-02  1.6351E+00  2.9761E-02
  1.9278E+02  7.4912E-02  1.6502E+00  2.9804E-02
  1.9356E+02  7.4805E-02  1.6567E+00  2.9533E-02
  1.9434E+02  7.6836E-02  1.6709E+00  3.4449E-02
  1.9512E+02  7.6772E-02  1.6770E+00  3.6929E-02
  1.9591E+02  7.8620E-02  1.6875E+00  3.9512E-02
  1.9669E+02  7.8070E-02  1.6941E+00  4.0614E-02
  1.9747E+02  7.7717E-02  1.7037E+00  4.0922E-02
  1.9825E+02  7.7175E-02  1.7143E+00  4.1347E-02
  1.9904E+02  7.7945E-02  1.7341E+00  3.8933E-02
  1.9982E+02  7.8596E-02  1.7454E+00  3.6581E-02
  2.0060E+02  8.0016E-02  1.7646E+00  3.5206E-02
  2.0138E+02  7.8494E-02  1.7720E+00  3.4516E-02
  2.0216E+02  7.7494E-02  1.7900E+00  3.3595E-02
  2.0295E+02  7.6739E-02  1.8047E+00  3.4709E-02
  2.0373E+02  7.6701E-02  1.8226E+00  3.5046E-02
  2.0451E+02  7.7212E-02  1.8359E+00  3.7459E-02
  2.0529E+02  7.6882E-02  1.8551E+00  3.8201E-02
  2.0607E+02  7.5983E-02  1.8656E+00  3.9842E-02
  2.0686E+02  7.8242E-02  1.8888E+00  4.0790E-02
  2.0764E+02  7.7598E-02  1.8940E+00  3.9899E-02
  2.0842E+02  7.9954E-02  1.9049E+00  4.1142E-02
  2.0920E+02  8.1236E-02  1.9037E+00  4.2415E-02
  2.0999E+02  8.4222E-02  1.8982E+00  4.2357E-02
  2.1077E+02  8.5094E-02  1.8913E+00  4.4181E-02
  2.1155E+02  8.4811E-02  1.8882E+00  4.3758E-02
  2.1233E+02  8.5072E-02  1.8799E+00  4.6260E-02
  2.1311E+02  8.5832E-02  1.8775E+00  4.8543E-02
  2.1373E+02  8.3185E-02  1.8782E+00  4.8809E-02
  2.1451E+02  8.2870E-02  1.8740E+00  4.8389E-02
  2.1529E+02  8.2188E-02  1.8771E+00  4.9715E-02
  2.1607E+02  8.2542E-02  1.8776E+00  4.9520E-02
  2.1686E+02  8.3779E-02  1.8842E+00  4.9194E-02
  2.1764E+02  8.2964E-02  1.8877E+00  4.9287E-02
  2.1842E+02  8.0531E-02  1.8937E+00  5.0824E-02
  2.1920E+02  7.7918E-02  1.8986E+00  5.1075E-02
  2.1998E+02  7.6148E-02  1.9118E+00  5.0789E-02
  2.2077E+02  7.5350E-02  1.9152E+00  5.1873E-02
  2.2155E+02  7.3620E-02  1.9170E+00  5.0792E-02
  2.2233E+02  7.6653E-02  1.9231E+00  5.0464E-02
  2.2311E+02  7.9599E-02  1.9310E+00  4.9680E-02
  2.2390E+02  7.9378E-02  1.9416E+00  4.8130E-02
  2.2468E+02  7.7248E-02  1.9443E+00  4.5879E-02
  2.2546E+02  7.8056E-02  1.9524E+00  4.5154E-02
  2.2624E+02  7.8840E-02  1.9563E+00  4.2108E-02
  2.2702E+02  8.1163E-02  1.9610E+00  4.1362E-02
  2.2781E+02  8.2302E-02  1.9679E+00  3.9679E-02
  2.2859E+02  8.1305E-02  1.9740E+00  4.2454E-02
  2.2937E+02  7.9062E-02  1.9821E+00  4.5244E-02
  2.3015E+02  8.1686E-02  1.9861E+00  4.6470E-02
  2.3094E+02  8.3487E-02  1.9863E+00  4.4133E-02
  2.3172E+02  8.3059E-02  1.9817E+00  4.3710E-02
  2.3250E+02  8.4132E-02  1.9845E+00  4.4012E-02
  2.3328E+02  8.2889E-02  1.9861E+00  4.3923E-02
  2.3406E+02  8.1254E-02  1.9911E+00  4.2446E-02
  2.3485E+02  8.0113E-02  1.9910E+00  4.0036E-02
  2.3563E+02  8.0516E-02  1.9891E+00  3.9968E-02
  2.3641E+02  8.0162E-02  1.9888E+00  3.8390E-02
  2.3719E+02  8.1708E-02  1.9910E+00  3.8633E-02
  2.3798E+02  8.3595E-02  1.9825E+00  3.7230E-02
  2.3876E+02  8.5202E-02  1.9837E+00  3.9672E-02
  2.3954E+02  8.4137E-02  1.9823E+00  3.7203E-02
  2.4032E+02  8.3837E-02  1.9862E+00  3.6809E-02
  2.4110E+02  8.3013E-02  1.9890E+00  3.6139E-02
  2.4189E+02  8.3437E-02  1.9978E+00  3.6736E-02
  2.4267E+02  8.1846E-02  2.0054E+00  3.5537E-02
  2.4345E+02  8.2207E-02  2.0177E+00  3.2874E-02
  2.4423E+02  8.2355E-02  2.0223E+00  3.1206E-02
  2.4501E+02  8.4232E-02  2.0392E+00  2.8299E-02
  2.4580E+02  8.5074E-02  2.0470E+00  2.5521E-02
  2.4658E+02  8.7398E-02  2.0564E+00  2.3409E-02
  2.4736E+02  8.6964E-02  2.0612E+00  2.4188E-02
  2.4814E+02  8.8498E-02  2.0698E+00  2.3664E-02
  2.4893E+02  8.7037E-02  2.0783E+00  2.6241E-02
  2.4971E+02  8.3981E-02  2.0958E+00  2.7642E-02
  2.5049E+02  8.1790E-02  2.1039E+00  2.9134E-02
  2.5127E+02  7.9533E-02  2.1150E+00  2.7561E-02
  2.5205E+02  7.6166E-02  2.1176E+00  2.4481E-02
  2.5284E+02  7.4286E-02  2.1259E+00  2.1533E-02
  2.5362E+02  7.4075E-02  2.1272E+00  1.5853E-02
  2.5440E+02  7.8217E-02  2.1354E+00  1.2142E-02
  2.5518E+02  8.1999E-02  2.1420E+00  8.6914E-03
  2.5597E+02  8.7661E-02  2.1504E+00  5.5070E-03
  2.5675E+02  9.0265E-02  2.1532E+00 -1.1950E-04
  2.5753E+02  9.4831E-02  2.1536E+00 -1.1094E-03
  2.5831E+02  9.4836E-02  2.1538E+00 -3.2053E-03
  2.5909E+02  9.7761E-02  2.1499E+00 -2.7440E-04
  2.5988E+02  9.5212E-02  2.1523E+00 -3.7793E-03
  2.6066E+02  9.5192E-02  2.1547E+00 -3.4066E-03
  2.6144E+02  9.4856E-02  2.1610E+00 -7.5455E-03
  2.6222E+02  9.4560E-02  2.1708E+00 -1.0102E-02
  2.6300E+02  9.1963E-02  2.1845E+00 -1.2677E-02
  2.6379E+02  8.7933E-02  2.1992E+00 -1.3419E-02
  2.6457E+02  8.5237E-02  2.2093E+00 -1.2697E-02
  2.6535E+02  8.7619E-02  2.2149E+00 -8.5725E-03
  2.6613E+02  8.6297E-02  2.2157E+00 -1.0722E-02
  2.6692E+02  8.6910E-02  2.2100E+00 -1.1366E-02
  2.6770E+02  8.7504E-02  2.2074E+00 -1.1587E-02
  2.6848E+02  8.9858E-02  2.2049E+00 -8.4531E-03
  2.6924E+02  9.0111E-02  2.2061E+00 -3.3323E-03
  2.6998E+02  9.1567E-02  2.2137E+00 -5.2684E-03
  2.7073E+02  9.0000E-02  2.2126E+00 -7.5514E-03
  2.7147E+02  8.9703E-02  2.2234E+00 -1.2474E-02
  2.7221E+02  8.8958E-02  2.2342E+00 -1.6746E-02
  2.7295E+02  9.0244E-02  2.2434E+00 -1.9976E-02
  2.7370E+02  9.0952E-02  2.2501E+00 -2.1014E-02
  2.7444E+02  9.1880E-02  2.2537E+00 -2.3558E-02
  2.7518E+02  8.9848E-02  2.2506E+00 -2.2736E-02
  2.7593E+02  8.8464E-02  2.2401E+00 -2.5796E-02
  2.7667E+02  8.5162E-02  2.2299E+00 -2.5893E-02
  2.7741E+02  8.3628E-02  2.2174E+00 -2.3137E-02
  2.7816E+02  8.5866E-02  2.2135E+00 -1.9606E-02
  2.7890E+02  8.4819E-02  2.2248E+00 -1.8347E-02
  2.7964E+02  8.8167E-02  2.2282E+00 -1.5356E-02
  2.8039E+02  9.0773E-02  2.2406E+00 -1.7601E-02
  2.8113E+02  9.4960E-02  2.2462E+00 -1.8490E-02
  2.8187E+02  9.6990E-02  2.2540E+00 -2.2597E-02
  2.8261E+02  9.7274E-02  2.2594E+00 -2.3654E-02
  2.8336E+02  9.5477E-02  2.2585E+00 -2.4557E-02
  2.8410E+02  9.5781E-02  2.2589E+00 -2.2408E-02
  2.8484E+02  9.4465E-02  2.2600E+00 -2.6472E-02
  2.8559E+02  9.3436E-02  2.2577E+00 -2.5747E-02
  2.8633E+02  9.4048E-02  2.2576E+00 -2.7140E-02
  2.8707E+02  9.1357E-02  2.2568E+00 -2.9941E-02
  2.8782E+02  9.1202E-02  2.2472E+00 -3.1103E-02
  2.8856E+02  8.8335E-02  2.2514E+00 -3.5758E-02
  2.8930E+02  8.6405E-02  2.2545E+00 -3.7201E-02
  2.9004E+02  8.4222E-02  2.2599E+00 -3.8595E-02
  2.9079E+02  8.4504E-02  2.2642E+00 -4.4138E-02
  2.9153E+02  8.1693E-02  2.2681E+00 -4.6577E-02
  2.9227E+02  8.3152E-02  2.2616E+00 -5.0580E-02
  2.9302E+02  8.4832E-02  2.2554E+00 -5.5524E-02
  2.9376E+02  8.7252E-02  2.2403E+00 -5.6990E-02
  2.9450E+02  8.9552E-02  2.2278E+00 -5.7406E-02
  2.9525E+02  9.4452E-02  2.2197E+00 -5.5455E-02
  2.9599E+02  9.4604E-02  2.2122E+00 -5.3434E-02
  2.9673E+02  9.4311E-02  2.2014E+00 -5.0612E-02
  2.9748E+02  9.1222E-02  2.2077E+00 -4.6114E-02
  2.9822E+02  9.0657E-02  2.2096E+00 -4.0634E-02
  2.9896E+02  9.0699E-02  2.2150E+00 -4.1035E-02
  2.9970E+02  8.9889E-02  2.2221E+00 -3.8773E-02
  3.0045E+02  9.0299E-02  2.2229E+00 -3.6253E-02
  3.0119E+02  9.0820E-02  2.2200E+00 -3.4422E-02
  3.0193E+02  8.9443E-02  2.2214E+00 -3.5424E-02
  3.0268E+02  8.8438E-02  2.2133E+00 -3.5970E-02
  3.0342E+02  8.9635E-02  2.2073E+00 -3.6891E-02
  3.0416E+02  9.3349E-02  2.2047E+00 -3.6336E-02
  3.0491E+02  9.4329E-02  2.1847E+00 -3.3625E-02
  3.0565E+02  9.4820E-02  2.1709E+00 -3.1913E-02
  3.0639E+02  9.4127E-02  2.1472E+00 -2.9842E-02
  3.0713E+02  9.1473E-02  2.1334E+00 -2.9963E-02
  3.0788E+02  9.1610E-02  2.1233E+00 -2.6381E-02
  3.0862E+02  9.1641E-02  2.1177E+00 -2.2131E-02
