# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:56:08 2022
# diag: fluxspectra, run(s): 1-dat, time window: 800-1468.5478(43 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p42/
# normalization: L_ref=1.65m
#
# Q*dVdx =   2.0694E+00 MW
# G*dVdx =   2.5504E-01 MW/keV
#  kx         G_es,p      Q_es,p      G_em,p      Q_em,p    
  3.1535E+00 -8.2908E-06  3.5035E-05  1.2521E-08  3.7518E-08
  3.1822E+00 -9.3285E-06  3.2815E-05  1.3128E-08  4.7789E-08
  3.2108E+00 -7.6507E-06  3.4152E-05  5.9979E-08  4.9190E-08
  3.2395E+00 -7.9414E-06  2.7965E-05 -4.6542E-08 -9.0867E-08
  3.2682E+00 -8.0688E-06  2.8304E-05 -4.3168E-08 -4.7903E-08
  3.2968E+00 -1.0119E-05  2.4852E-05  4.0059E-08  4.7214E-08
  3.3255E+00 -5.8352E-06  2.6305E-05  8.4702E-08  1.7670E-07
  3.3542E+00 -7.9053E-06  2.3908E-05  8.0916E-08  1.3327E-07
  3.3829E+00 -5.0299E-06  2.2030E-05  3.3469E-08  3.4786E-08
  3.4115E+00 -7.3493E-06  2.2171E-05 -1.1210E-08 -1.6679E-08
  3.4402E+00 -7.8790E-06  2.0306E-05  5.7397E-08  1.0294E-07
  3.4689E+00 -7.1177E-06  1.9718E-05 -5.0174E-09  1.7660E-09
  3.4975E+00 -9.5508E-06  1.9361E-05  3.2996E-08  5.6629E-08
  3.5262E+00 -6.8687E-06  2.0864E-05  4.1589E-08  9.7729E-08
  3.5549E+00 -4.6524E-06  2.0228E-05  3.4506E-09  4.7874E-08
  3.5835E+00 -7.0616E-06  1.6816E-05  2.3792E-08  3.0020E-10
  3.6122E+00 -6.4341E-06  1.7831E-05 -1.0799E-08 -5.2972E-09
  3.6409E+00 -7.8645E-06  1.8824E-05 -1.2151E-08  6.6995E-09
  3.6695E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p      G_em,p      Q_em,p    
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0000E-02 -1.4005E-03  3.5432E-02  2.0988E-03  5.4822E-03
  8.0000E-02 -1.2468E-03  4.0921E-01  2.2484E-02  6.2549E-02
  1.2000E-01  2.9743E-03  2.7813E-01  7.6029E-03  2.4193E-02
  1.6000E-01  3.3874E-03  2.5738E-01  5.4993E-03  1.8326E-02
  2.0000E-01  3.1664E-03  1.7551E-01  2.8232E-03  9.7140E-03
  2.4000E-01  3.4541E-03  1.3059E-01  1.6171E-03  5.5176E-03
  2.8000E-01  3.1951E-03  1.0581E-01  1.0735E-03  3.5957E-03
  3.2000E-01  2.6589E-03  9.3545E-02  7.4552E-04  2.4640E-03
  3.6000E-01  2.8334E-03  8.0888E-02  5.5646E-04  1.6984E-03
  4.0000E-01  2.6941E-03  7.7941E-02  4.2068E-04  1.2600E-03
  4.4000E-01  2.9911E-03  7.1335E-02  2.9076E-04  8.1672E-04
  4.8000E-01  2.9054E-03  6.6657E-02  2.2862E-04  5.6756E-04
  5.2000E-01  2.8368E-03  6.0105E-02  1.7607E-04  4.0145E-04
  5.6000E-01  2.7683E-03  5.2217E-02  1.5806E-04  3.2985E-04
  6.0000E-01  2.3362E-03  4.3517E-02  1.2902E-04  2.7393E-04
  6.4000E-01  2.0813E-03  4.0449E-02  1.1637E-04  2.4973E-04
  6.8000E-01  2.1359E-03  3.4767E-02  9.8356E-05  2.1363E-04
  7.2000E-01  2.1467E-03  3.2821E-02  8.0409E-05  1.5596E-04
  7.6000E-01  1.6168E-03  2.8388E-02  8.2692E-05  1.5614E-04
  8.0000E-01  1.6502E-03  2.5109E-02  6.5140E-05  1.3075E-04
  8.4000E-01  1.5156E-03  2.3503E-02  7.0170E-05  1.4182E-04
  8.8000E-01  1.4883E-03  2.1861E-02  5.6135E-05  9.5885E-05
  9.2000E-01  1.3294E-03  2.0273E-02  4.8788E-05  9.3006E-05
  9.6000E-01  1.2924E-03  1.8850E-02  5.1235E-05  9.9846E-05
  1.0000E+00  1.1454E-03  1.6946E-02  4.3812E-05  7.6171E-05
  1.0400E+00  1.0845E-03  1.5640E-02  3.4355E-05  6.2729E-05
  1.0800E+00  1.0740E-03  1.5210E-02  3.7287E-05  6.4950E-05
  1.1200E+00  9.0911E-04  1.3413E-02  3.5293E-05  6.9472E-05
  1.1600E+00  9.1688E-04  1.2950E-02  3.2505E-05  6.8752E-05
  1.2000E+00  9.2527E-04  1.2637E-02  2.7027E-05  5.7989E-05
  1.2400E+00  7.7050E-04  1.1429E-02  3.0662E-05  6.4610E-05
